,finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,running_position_4,finish_time,win_odds,running_position_5,running_position_6,race_id,recent_6_runs,recent_ave_rank,jockey_ave_rank,trainer_ave_rank,race_distance
0,1,1.0,DOUBLE DRAGON,K019,B Prebble,D Cruz,133,1032,1,-,1.0,2.0,2.0,1.0,1.22.33,3.8,,,2014-001,12/3/12/3/12/3,7.5,6.052910052910053,7.3818615751789975,1400
1,2,2.0,PLAIN BLUE BANNER,S070,D Whyte,D E Ferraris,133,1075,13,2,8.0,9.0,9.0,2.0,1.22.65,8,,,2014-001,9/5/8/7/5/2,6.0,5.825153374233129,6.611464968152866,1400
2,3,10.0,GOLDWEAVER,P072,Y T Cheng,Y S Tsui,121,1065,3,2,2.0,1.0,1.0,3.0,1.22.66,5.7,,,2014-001,8/6/3/3/2/10,5.333333333333333,7.857758620689655,6.888713496448303,1400
3,4,3.0,SUPREME PROFIT,P230,J Moreira,C S Shum,132,1222,2,2,6.0,4.0,5.0,4.0,1.22.66,6.1,,,2014-001,6/9/3/7/9/12,7.666666666666667,4.179172056921087,6.680327868852459,1400
4,5,7.0,THE ONLY KID,H173,Z Purton,K W Lui,125,1136,9,4-1/4,9.0,10.0,10.0,5.0,1.23.02,6.1,,,2014-001,10/6/6/3/10/5,6.666666666666667,5.284126984126984,6.903954802259887,1400
5,6,9.0,WINNING ADVANTAGE,N359,A Suborics,A T Millard,123,1100,11,5-1/2,12.0,13.0,13.0,6.0,1.23.20,24,,,2014-001,11/10/8/3/14/12,9.666666666666666,7.732782369146006,6.755846585594013,1400
6,7,13.0,CARE FREE ELEGANCE,P340,C Y Ho,K L Man,115,1053,12,5-1/2,4.0,3.0,3.0,7.0,1.23.22,99,,,2014-001,10/14/12/9/12/7,10.666666666666666,7.464696223316913,7.077884615384615,1400
7,8,4.0,COOL PAL,S035,H W Lai,L Ho,129,1203,8,5-3/4,5.0,6.0,6.0,8.0,1.23.25,21,,,2014-001,10/7/10/11/1/8,7.833333333333333,7.985729967069155,7.3230974632843795,1400
8,9,6.0,TAI PO FORTUNE,P081,K Teetan,T P Yung,127,1073,6,6-1/4,7.0,7.0,7.0,9.0,1.23.33,10,,,2014-001,5/11/9/8/11/9,8.833333333333334,6.691367456073339,6.89412997903564,1400
9,10,11.0,SUPER HORSE,L308,T H So,C W Chang,119,1137,7,6-3/4,11.0,11.0,12.0,10.0,1.23.41,27,,,2014-001,9/14/11/14/12/9,11.5,8.304038004750593,7.58997722095672,1400
10,11,5.0,AMAZING GIFT,S090,K C Leung,P O'Sullivan,125,1099,4,7-3/4,3.0,5.0,4.0,11.0,1.23.56,17,,,2014-001,12/10/7/1/1/11,7.0,7.330365093499554,6.182122905027933,1400
11,12,14.0,LITTLE WIND,N306,C Y Lui,P F Yiu,107,1062,5,10-1/4,10.0,8.0,8.0,12.0,1.23.96,46,,,2014-001,13/12,12.5,7.754491017964072,6.839819004524887,1400
12,13,8.0,EVERSPRING,P325,M L Yeung,A Lee,122,988,14,11,13.0,12.0,11.0,13.0,1.24.10,58,,,2014-001,9/4/6/11/3/4,6.166666666666667,7.4408413672217355,7.369127516778524,1400
14,1,11.0,TRUMP,P106,K C Leung,K L Man,119,1137,13,-,4.0,3.0,2.0,1.0,1.21.54,39,,,2014-010,7/6/2/1/2/9,4.5,7.330365093499554,7.077884615384615,1400
15,2,13.0,MULTIVICTORY,P254,K C Ng,A S Cruz,114,1101,3,2-1/4,1.0,1.0,1.0,2.0,1.21.89,3.2,,,2014-010,6/7/3/6/11/1,5.666666666666667,8.535493827160494,6.535820895522388,1400
16,3,4.0,HELENE SUPER STAR,S152,M Chadwick,A S Cruz,127,1195,6,2-1/4,8.0,8.0,9.0,3.0,1.21.92,13,,,2014-010,12/10/6/6/8/4,7.666666666666667,7.277506112469438,6.535820895522388,1400
17,4,2.0,DEEP THINKER,N159,Z Purton,P F Yiu,132,1067,2,2-1/2,5.0,5.0,4.0,4.0,1.21.95,8.3,,,2014-010,12/11/1/6/7/8,7.5,5.284126984126984,6.839819004524887,1400
18,5,10.0,LITTLE MEN,N441,W M Lai,W Y So,121,1251,4,2-3/4,7.0,7.0,7.0,5.0,1.21.98,5,,,2014-010,11/8/5/11/5,8.0,8.93560606060606,7.048586572438163,1400
19,6,3.0,SMART MAN,P103,D Whyte,J Moore,128,1134,9,3-1/2,12.0,10.0,10.0,6.0,1.22.10,5.6,,,2014-010,9/9/7/8/8/1,7.0,5.825153374233129,6.13596837944664,1400
20,7,14.0,ROYAL PARTNER,N394,C Y Ho,C Fownes,116,1082,10,3-1/2,11.0,12.0,12.0,7.0,1.22.10,79,,,2014-010,10/4/4/4/7/1,5.0,7.464696223316913,6.730797912005966,1400
21,8,12.0,SICHUAN EXEC,N344,C Reith,J Size,120,1051,12,4,10.0,11.0,11.0,8.0,1.22.18,35,,,2014-010,12/12/2/3/9/5,7.166666666666667,7.699115044247788,5.517117117117117,1400
22,9,9.0,JOLLY VICTOR,N140,K Teetan,A T Millard,121,1035,7,4-1/2,9.0,9.0,8.0,9.0,1.22.25,24,,,2014-010,3/8/5/11/6/10,7.166666666666667,6.691367456073339,6.755846585594013,1400
23,10,6.0,SICHUAN VIGOUR,P412,J Moreira,J Size,125,1064,5,4-3/4,6.0,6.0,6.0,10.0,1.22.32,8.1,,,2014-010,3/1/2/12/9/3,5.0,4.179172056921087,5.517117117117117,1400
24,11,7.0,AUTUMN GOLD,P044,B Prebble,S Woods,123,1011,14,5,13.0,14.0,14.0,11.0,1.22.34,21,,,2014-010,10/5/3/13/2/11,7.333333333333333,6.052910052910053,7.129740518962076,1400
